,date,province,confirmed,cured,dead,nowc
274,2020-01-27,宁夏回族自治区,11,0,0,11
275,2020-01-27,新疆维吾尔自治区,10,0,0,10
276,2020-01-27,台湾省,5,0,0,5
277,2020-01-27,香港特别行政区,8,0,0,8
278,2020-01-27,澳门特别行政区,7,0,0,7
279,2020-01-28,北京市,91,4,1,86
280,2020-01-28,天津市,24,0,0,24
281,2020-01-28,河北省,48,0,1,47
282,2020-01-28,山西省,27,0,0,27
283,2020-01-28,内蒙古自治区,16,0,0,16
284,2020-01-28,辽宁省,34,0,0,34
285,2020-01-28,吉林省,9,0,0,9
286,2020-01-28,黑龙江省,37,0,1,36
287,2020-01-28,上海市,80,4,1,75
288,2020-01-28,江苏省,99,1,0,98
289,2020-01-28,浙江省,296,3,0,293
290,2020-01-28,安徽省,152,0,0,152
291,2020-01-28,福建省,80,0,0,80
292,2020-01-28,江西省,109,3,0,106
293,2020-01-28,山东省,121,0,0,121
294,2020-01-28,河南省,206,1,2,203
295,2020-01-28,湖北省,3554,80,125,3349
296,2020-01-28,湖南省,221,0,0,221
297,2020-01-28,广东省,241,5,0,236
298,2020-01-28,广西壮族自治区,58,2,0,56
299,2020-01-28,海南省,43,0,1,42
300,2020-01-28,重庆市,147,0,0,147
301,2020-01-28,四川省,108,0,0,108
302,2020-01-28,贵州省,9,1,0,8
303,2020-01-28,云南省,51,0,0,51
304,2020-01-28,西藏自治区,0,0,0,0
305,2020-01-28,陕西省,56,0,0,56
306,2020-01-28,甘肃省,24,0,0,24
307,2020-01-28,青海省,6,0,0,6
308,2020-01-28,宁夏回族自治区,12,0,0,12
309,2020-01-28,新疆维吾尔自治区,13,0,0,13
310,2020-01-28,台湾省,8,0,0,8
311,2020-01-28,香港特别行政区,8,0,0,8
312,2020-01-28,澳门特别行政区,7,0,0,7
313,2020-01-29,北京市,114,4,1,109
314,2020-01-29,天津市,27,0,0,27
315,2020-01-29,河北省,65,0,1,64
316,2020-01-29,山西省,35,1,0,34
317,2020-01-29,内蒙古自治区,18,0,0,18
318,2020-01-29,辽宁省,41,1,0,40
319,2020-01-29,吉林省,14,0,0,14
320,2020-01-29,黑龙江省,43,0,1,42
321,2020-01-29,上海市,101,5,1,95
322,2020-01-29,江苏省,129,1,0,128
323,2020-01-29,浙江省,428,4,0,424
324,2020-01-29,安徽省,200,2,0,198
325,2020-01-29,福建省,101,0,0,101
326,2020-01-29,江西省,162,3,0,159
327,2020-01-29,山东省,145,1,0,144
328,2020-01-29,河南省,206,2,2,202
329,2020-01-29,湖北省,4586,90,162,4334
330,2020-01-29,湖南省,277,0,0,277
331,2020-01-29,广东省,311,6,0,305
332,2020-01-29,广西壮族自治区,78,2,0,76
333,2020-01-29,海南省,46,1,1,44
334,2020-01-29,重庆市,165,1,0,164
335,2020-01-29,四川省,142,1,1,140
336,2020-01-29,贵州省,12,1,0,11
337,2020-01-29,云南省,70,0,0,70
338,2020-01-29,西藏自治区,1,0,0,1
339,2020-01-29,陕西省,63,0,0,63
340,2020-01-29,甘肃省,26,0,0,26
341,2020-01-29,青海省,6,0,0,6
342,2020-01-29,宁夏回族自治区,17,0,0,17
343,2020-01-29,新疆维吾尔自治区,14,0,0,14
344,2020-01-29,台湾省,8,0,0,8
345,2020-01-29,香港特别行政区,10,0,0,10
346,2020-01-29,澳门特别行政区,7,0,0,7
347,2020-01-30,北京市,132,5,1,126
348,2020-01-30,天津市,31,0,0,31
349,2020-01-30,河北省,82,0,1,81
350,2020-01-30,山西省,39,1,0,38
351,2020-01-30,内蒙古自治区,20,0,0,20
352,2020-01-30,辽宁省,45,1,0,44
353,2020-01-30,吉林省,14,1,0,13
354,2020-01-30,黑龙江省,59,0,2,57
355,2020-01-30,上海市,128,5,1,122
356,2020-01-30,江苏省,168,2,0,166
357,2020-01-30,浙江省,537,9,0,528
358,2020-01-30,安徽省,237,3,0,234
359,2020-01-30,福建省,120,0,0,120
360,2020-01-30,江西省,240,7,0,233
361,2020-01-30,山东省,178,2,0,176
362,2020-01-30,河南省,352,3,2,347
363,2020-01-30,湖北省,5806,116,204,5486
364,2020-01-30,湖南省,332,2,0,330
365,2020-01-30,广东省,393,9,0,384
366,2020-01-30,广西壮族自治区,87,2,0,85
367,2020-01-30,海南省,49,1,1,47
368,2020-01-30,重庆市,206,1,0,205
